"","title","type","text"
"1","The Tragedy of Romeo and Juliet","Tragedy","The Complete Works of William Shakespeare"
"2","The Tragedy of Romeo and Juliet","Tragedy",""
"3","The Tragedy of Romeo and Juliet","Tragedy","The Tragedy of Romeo and Juliet"
"4","The Tragedy of Romeo and Juliet","Tragedy",""
"5","The Tragedy of Romeo and Juliet","Tragedy","The Library of the Future Complete Works of William Shakespeare"
"6","The Tragedy of Romeo and Juliet","Tragedy","Library of the Future is a TradeMark (TM) of World Library Inc."
"7","The Tragedy of Romeo and Juliet","Tragedy",""
"8","The Tragedy of Romeo and Juliet","Tragedy",""
"9","The Tragedy of Romeo and Juliet","Tragedy","<<THIS ELECTRONIC VERSION OF THE COMPLETE WORKS OF WILLIAM"
"10","The Tragedy of Romeo and Juliet","Tragedy","SHAKESPEARE IS COPYRIGHT 1990-1993 BY WORLD LIBRARY, INC., AND IS"
"11","The Tragedy of Romeo and Juliet","Tragedy","PROVIDED BY PROJECT GUTENBERG ETEXT OF CARNEGIE MELLON UNIVERSITY"
"12","The Tragedy of Romeo and Juliet","Tragedy","WITH PERMISSION.  ELECTRONIC AND MACHINE READABLE COPIES MAY BE"
"13","The Tragedy of Romeo and Juliet","Tragedy","DISTRIBUTED SO LONG AS SUCH COPIES (1) ARE FOR YOUR OR OTHERS"
"14","The Tragedy of Romeo and Juliet","Tragedy","PERSONAL USE ONLY, AND (2) ARE NOT DISTRIBUTED OR USED"
"15","The Tragedy of Romeo and Juliet","Tragedy","COMMERCIALLY.  PROHIBITED COMMERCIAL DISTRIBUTION INCLUDES BY ANY"
"16","The Tragedy of Romeo and Juliet","Tragedy","SERVICE THAT CHARGES FOR DOWNLOAD TIME OR FOR MEMBERSHIP.>>"
"17","The Tragedy of Romeo and Juliet","Tragedy",""
"18","The Tragedy of Romeo and Juliet","Tragedy",""
"19","The Tragedy of Romeo and Juliet","Tragedy",""
"20","The Tragedy of Romeo and Juliet","Tragedy",""
"21","The Tragedy of Romeo and Juliet","Tragedy","1595"
"22","The Tragedy of Romeo and Juliet","Tragedy",""
"23","The Tragedy of Romeo and Juliet","Tragedy","THE TRAGEDY OF ROMEO AND JULIET"
"24","The Tragedy of Romeo and Juliet","Tragedy",""
"25","The Tragedy of Romeo and Juliet","Tragedy","by William Shakespeare"
"26","The Tragedy of Romeo and Juliet","Tragedy",""
"27","The Tragedy of Romeo and Juliet","Tragedy",""
"28","The Tragedy of Romeo and Juliet","Tragedy",""
"29","The Tragedy of Romeo and Juliet","Tragedy","Dramatis Personae"
"30","The Tragedy of Romeo and Juliet","Tragedy",""
"31","The Tragedy of Romeo and Juliet","Tragedy","  Chorus."
"32","The Tragedy of Romeo and Juliet","Tragedy",""
"33","The Tragedy of Romeo and Juliet","Tragedy",""
"34","The Tragedy of Romeo and Juliet","Tragedy","  Escalus, Prince of Verona."
"35","The Tragedy of Romeo and Juliet","Tragedy",""
"36","The Tragedy of Romeo and Juliet","Tragedy","  Paris, a young Count, kinsman to the Prince."
"37","The Tragedy of Romeo and Juliet","Tragedy",""
"38","The Tragedy of Romeo and Juliet","Tragedy","  Montague, heads of two houses at variance with each other."
"39","The Tragedy of Romeo and Juliet","Tragedy",""
"40","The Tragedy of Romeo and Juliet","Tragedy","  Capulet, heads of two houses at variance with each other."
"41","The Tragedy of Romeo and Juliet","Tragedy",""
"42","The Tragedy of Romeo and Juliet","Tragedy","  An old Man, of the Capulet family."
"43","The Tragedy of Romeo and Juliet","Tragedy",""
